Year,Inductees,Pos.,Achievements,Ref.
1990,Elvin Hayes,F-C,"' The Big E ', high leaping, scoring big man at U. Of Houston, then for San Diego-Houston Rockets. Later also starred for title-winning Washington Bullets in lengthy NBA career.",[80]
1990,Neil Johnston,C,"high scoring center at Ohio State as collegian, then for Philadelphia Warriors in the 1950s. Led the Warriors to 1956 NBA title.",[81]
1990,Earl Monroe,G,"' Earl The Pearl ', playground legend from Philadelphia, then crowd pleasing / scoring star for Baltimore Bullets and New York Knickerbockers.",[82]
1991,Nate Archibald,G,NBA Champion (1981),[83]
1991,Dave Cowens,C-F,"high intensity big man / center for the Boston Celtics, helped lead team to two NBA titles.",[84]
1991,Harry Gallatin,F-C,"NBA All-Star, 1951–57",[85]
1992,Sergei Belov,G,First international player to be inducted,[86]
1992,Lusia Harris-Stewart,C,"AIAW National Championship with Delta State, 1975–77",[87]
1992,Connie Hawkins,F-C,"' The Hawk ' playground legend, high-gliding star big man from Brooklyn. Career marred by alleged point-shaving scandal. Nonetheless starred for Harlem Globetrotters, ABL-ABA Pittsburgh Pipers, which he led to the first ABA title in 1968.",[88]
1992,Bob Lanier,C,"All-America at St. Bonaventure University, 1968, 1969, 1970",[89]
1992,Nera White,F,Led Nashville Business College to ten national AAU championships,[90]
1993,Walt Bellamy,C, Gold,[91]
1993,Julius Erving,F,NBA Champion (1983),[92]
1993,Dan Issel,C-F,"Odds-defying star big man at Kentucky, then for ABA Kentucky Colonels, then for ABA/NBA Denver Nuggets in lengthy playing career. Later also coached Denver. Netted over 25,000 pro points.",[93]
1993,Dick McGuire,G,"NIT championship at St. John's, 1944",[94]
1993,Ann Meyers,G,"Olympic Silver Medal, 1976",[95]
1993,Calvin Murphy,G,NBA All-Star (1979),[96]
1993,Uļjana Semjonova,C,"Unbeaten in international team competition in her 18-year career; two Olympic gold medals (1976, 1980); three ",[97]
1993,Bill Walton,C-F,"2× NBA Champion (1977, 1986)",[98]
1994,Carol Blazejowski,G,"All-America at Montclair State, 1976–78",[99]
1994,Buddy Jeannette,G,"World Professional Tournament Championship with Detroit Eagles, 1941",[100]
1995,Kareem Abdul-Jabbar,C,"6× NBA Champion (1971, 1980, 1982, 1985, 1987–1988)",[101]
1995,Anne Donovan,C,"AIAW Championship with Old Dominion University, 1979",[102]
1995,Vern Mikkelsen,F-C,"NAIA national championship at Hamline, 1949",[103]
1995,Cheryl Miller,F,"NCAA Championship with Southern California, 1983, 1984",[104]
1996,Krešimir Ćosić,C,2× ,[105]
1996,George Gervin,G,9× ,[106]
1996,Gail Goodrich,G,NBA Champion (1972),[107]
1996,Nancy Lieberman,G,"All-America at Old Dominion, 1978, 1979, 1980",[108]
1996,David Thompson,G-F,4× ,[109]
1996,George Yardley,F-G,"' Jumping George ', high-leaping star scoring forward at Stanford as collegian, then for the Fort Wayne – Detroit Pistons in the 1950s.",[110]
1997,Joan Crawford,C,Gold Medals in 1957 FIBA World Championship and 1959 & 1963 Pan American Games for Women's Basketball. 2× AAU Most Valuable Player. AAU Hall of Fame in 1961. Helms Hall of Fame in 1967. ,[111]
1997,Denise Curry,F,"Gold Medals in 1979 & 1983 FIBA World Championship, 1983 Pan American Games and 1984 Olympics for Women's Basketball. UCLA Athletics Hall of Fame in 1994. ",[112]
1997,Alex English,F,8× ,[113]
1997,Bailey Howell,F,2× NBA Champion (1968–1969),[114]
1998,Larry Bird,F,Summer Olympics,[115]
1998,Marques Haynes,G,Harlem Globetrotters,[116]
1998,Arnie Risen,C,"2× NBA Champion (1951, 1957)",[117]
1999,Kevin McHale,F,"3× NBA Champion (1981, 1984, 1986)",[118]
2000,Bob McAdoo,C-F,"2× NBA Champion (1982, 1985)",[119]
2000,Isiah Thomas,G,2× NBA Champion (1989–1990),[120]
2001,Moses Malone,C,NBA Champion (1983),[121]
2002,Magic Johnson,G,Summer Olympics,[123]
2002,Dražen Petrović,G,FIBA World Championship,[124]
2003,Dino Meneghin,C,EuroBasket,[125]
2003,Robert Parish,C,"4× NBA Champion (1981, 1984, 1986, 1997)",[126]
2003,James Worthy,F,"3× NBA Champion (1985, 1987–1988)",[127]
2004,Dražen Dalipagić,F,FIBA World Championship,[128]
2004,Clyde Drexler,G,"1× NBA Champion (Houston Rockets, 1995)",[129]
2004,Maurice Stokes,F-C,3× ,[130]
2004,Lynette Woodard,G,Gold Medalist in 1984 Olympics and 1990 FIBA World Championship for Women. Inducted to ,[131]
2005,Hortencia de Fatima Marcari,G,First played on the ,[132]
2006,Charles Barkley,F,2× ,[133]
2006,Joe Dumars,G,2× ,[134]
2006,Dominique Wilkins,F,EuroLeague,[135]
2008,Adrian Dantley,F,6× ,[136]
2008,Patrick Ewing,C,2× ,[137]
2008,Hakeem Olajuwon,C,2× ,[138]
2009,Michael Jordan,G,"6× NBA Champion (1991–1993, 1996–1998)",[139]
2009,David Robinson,C,"2× NBA Champion (1999, 2003)",[140]
2009,John Stockton,G,10× ,[141]
2010,Cynthia Cooper-Dyke,G,2× ,[142]
2010,Dennis Johnson,G,5× ,[143]
2010,Gus Johnson,F,5× ,[144]
2010,Karl Malone,F,14× ,[145]
2010,Ubiratan Pereira Maciel,C,Known as ,[147]
2010,Scottie Pippen,F,"6× NBA Champion (1991–1993, 1996–1998)",[148]
2011,Dennis Rodman,F,"5× NBA Champion (1989–1990, 1996–1998)",[149]
2011,Chris Mullin,F,5× ,[150]
2011,Arvydas Sabonis,C,3× ,[151]
2011,Artis Gilmore,C,ABA All-Time Team (1997),[152]
2011,Teresa Edwards,G,"5× Olympic Medalist (gold, 1984, 1988, 1996, 2000; bronze, 1992)",[153]
2011,Goose Tatum,F,Member of the ,[154]
2012,Mel Daniels,C,ABA Rookie of the Year,[155]
2012,Katrina McClain,F,2× Kodak All-America (,[155]
2012,Reggie Miller,G,Retired with the most ,[156]
2012,Ralph Sampson,C,3× ,[157]
2012,Chet Walker,F,Consensus first-team All-America (,[158]
2012,Jamaal Wilkes,F,3× Academic All-America (,[159]
2013,Roger Brown,G-F,ABA Playoffs MVP (,[160]
2013,Bernard King,F,4× NBA All Star,[161]
2013,Gary Payton,G,NBA champion (,[161]
2013,Richie Guerin,G,6× NBA All-Star,[161]
2013,Dawn Staley,G,2× ,[161]
2013,Oscar Schmidt,F,All-time Top Scorer in FIBA World Cup basketball history,[161]
2014,Šarūnas Marčiulionis,G,3× ,[162]
2014,Alonzo Mourning,C,Summer Olympics,[163]
2014,Mitch Richmond,G,6× NBA All-Star,[164]
2014,Guy Rodgers,G,3× MVP in the ,[165]
2015,Louie Dampier,G,ABA All-Time Team (1997),[166]
2015,Spencer Haywood,F,Summer Olympics,[167]
2015,John Isaacs,G,"World Professional Basketball Tournament Championships (1939, 1943)",[168]
2015,Lisa Leslie,C,Naismith Award,[169]
2015,Dikembe Mutombo,C,"8× NBA All-Star (1992, 1995–1998, 2000–2002)",[170]
2015,Jo Jo White,G,Summer Olympics,[171]
2016, Yao Ming,C,8× ,[172]
2016,Cumberland  Posey,G,"Known as the ""best basketball player"" of the 1900s-1920s.",[172]
2016,Sheryl  Swoopes,G,First player to be signed to the WNBA.,[172]
2016,Zelmo Beaty,C,2× NBA All-Star,[172]
2016,Shaquille O'Neal,C,4× ,[172]
2016,Allen Iverson,G,NBA Most Valuable Player,[172]
2017,Tracy McGrady,G-F,7× ,[173]
2017,Nikos Galis,G,2× ,[173]
2017,George McGinnis,F-C,ABA Playoffs Most Valuable Player,[173]
2018,Ray Allen,G,All-Time Leader ,[174]
2018,Maurice Cheeks,G,NBA champion,[174]
2018,Grant Hill,F,7× ,[174]
2018,Jason Kidd,G,NBA champion,[174]
2018,Steve Nash,G,2× ,[174]
2018,Katie Smith,G-F,2× ,[174]
2018,Tina Thompson,F,4× ,[174]
2018,Ora Mae Washington,,Women's Basketball Hall of Fame,[174]
2018,Dino Rađa,F-C,2× ,[174]
2018,Charlie Scott,G,NBA champion,[174]
